0, 0, Header, 1, 3, 384
1, 0, Start_track
1, 0, Title_t, "L.v.Beethoven 3mov - Piano Sonata No.31 in Ab Major Op.110\000"
1, 0, Copyright_t, "Copyright(C) 1995-2016, Suzuki Software\000"
1, 0, Sequencer_specific, 9, 67, 123, 0, 88, 70, 48, 50, 0, 1
1, 0, Text_t, "XFhd:2016/01/01:JP:Classical::::L.v.Beethoven:::Kaoru Suzuki\000"
1, 0, Text_t, "XFln:JP:\203s\203A\203m\203\\\203i\203^\221æ31\224Ô\225Ï\203C\222·\222²\215ì\225i110\201`\221æ3\212y\217Í:L.v.\203x\201[\203g\201[\203\224\203F\203\223:::\227é\202¿\202á\202ñ:\227é\202¿\202á\202ñ\000"
1, 0, Time_signature, 4, 2, 96, 8
1, 0, Sequencer_specific, 5, 0, 0, 119, 14, 0
1, 0, Tempo, 1500000
1, 768, Tempo, 1578947
1, 1152, Tempo, 1764705
1, 1344, Tempo, 2142857
1, 1536, Tempo, 1578947
1, 2304, Tempo, 1666666
1, 3072, Tempo, 1578947
1, 3840, Tempo, 1666666
1, 4224, Tempo, 2000000
1, 4416, Tempo, 2500000
1, 4800, Tempo, 1500000
1, 6336, Tempo, 1578947
1, 6384, Tempo, 1666666
1, 6480, Tempo, 1764705
1, 6912, Tempo, 1578947
1, 7104, Tempo, 1764705
1, 7296, Tempo, 2142857
1, 7680, Tempo, 1578947
1, 7872, Tempo, 1500000
1, 9984, Tempo, 1578947
1, 10176, Tempo, 1666666
1, 10368, Tempo, 1875000
1, 10464, Tempo, 2142857
1, 10476, Tempo, 2500000
1, 10752, Tempo, 2000000
1, 11328, Tempo, 1250000
1, 11520, Tempo, 1363636
1, 11712, Tempo, 1428571
1, 11904, Tempo, 1500000
1, 13824, Time_signature, 12, 4, 96, 8
1, 13824, Tempo, 1875000
1, 15552, Tempo, 2000000
1, 15648, Tempo, 2068965
1, 15744, Tempo, 2222222
1, 15840, Tempo, 2222222
1, 15936, Tempo, 2307692
1, 16032, Tempo, 2400000
1, 16128, Tempo, 2222222
1, 16224, Tempo, 2000000
1, 23328, Tempo, 1935483
1, 23520, Tempo, 2000000
1, 23712, Tempo, 1935483
1, 23904, Tempo, 1875000
1, 24000, Tempo, 2000000
1, 24096, Tempo, 2400000
1, 24288, Tempo, 1935483
1, 24768, Tempo, 1818181
1, 25056, Tempo, 1875000
1, 26208, Tempo, 1935483
1, 26304, Tempo, 2000000
1, 26400, Tempo, 2222222
1, 26496, Tempo, 2000000
1, 26592, Tempo, 1875000
1, 26880, Tempo, 1875000
1, 27168, Tempo, 2000000
1, 27264, Tempo, 2033898
1, 28608, Tempo, 2000000
1, 29088, Tempo, 1935483
1, 29376, Tempo, 1875000
1, 29664, Tempo, 1935483
1, 29856, Tempo, 2033898
1, 30048, Tempo, 1875000
1, 30912, Tempo, 2000000
1, 31008, Tempo, 2181818
1, 31104, Tempo, 1875000
1, 33120, Tempo, 1967213
1, 33216, Tempo, 2105263
1, 33312, Tempo, 2222222
1, 33408, Tempo, 2142857
1, 33504, Tempo, 2000000
1, 33792, Tempo, 2307692
1, 33888, Tempo, 3000000
1, 34464, Tempo, 2400000
1, 34848, Tempo, 2222222
1, 35136, Tempo, 2307692
1, 35424, Tempo, 2790697
1, 35712, Time_signature, 3, 3, 96, 8
1, 35712, Tempo, 3000000
1, 36288, Tempo, 500000
1, 36864, Time_signature, 6, 3, 96, 8
1, 76608, Tempo, 545454
1, 76800, Tempo, 582524
1, 76992, Tempo, 612244
1, 77184, Tempo, 576923
1, 77376, Tempo, 521739
1, 77568, Tempo, 500000
1, 89280, Tempo, 545454
1, 89664, Tempo, 600000
1, 89856, Tempo, 480000
1, 99648, Tempo, 500000
1, 105984, Tempo, 521739
1, 106368, Tempo, 545454
1, 106560, Tempo, 571428
1, 106752, Tempo, 600000
1, 106944, Tempo, 666666
1, 107136, Tempo, 600000
1, 107328, Tempo, 500000
1, 117888, Tempo, 521739
1, 118080, Tempo, 545454
1, 118272, Tempo, 571428
1, 118464, Tempo, 600000
1, 118656, Tempo, 500000
1, 121344, Tempo, 521739
1, 121536, Tempo, 545454
1, 121728, Tempo, 571428
1, 121920, Tempo, 666666
1, 122112, Tempo, 600000
1, 122304, Tempo, 500000
1, 131328, Tempo, 512820
1, 131712, Tempo, 521739
1, 131904, Tempo, 535714
1, 132096, Tempo, 545454
1, 132288, Tempo, 600000
1, 133056, Tempo, 521739
1, 135360, Tempo, 545454
1, 135936, Tempo, 571428
1, 136128, Tempo, 674157
1, 136320, Tempo, 857142
1, 136512, Tempo, 888888
1, 138240, Time_signature, 6, 4, 96, 8
1, 138240, Tempo, 1690140
1, 138816, Time_signature, 12, 4, 96, 8
1, 139392, Tempo, 1621621
1, 139680, Tempo, 1846153
1, 139776, Tempo, 2000000
1, 139872, Tempo, 2222222
1, 139968, Tempo, 2000000
1, 140064, Tempo, 1621621
1, 140832, Tempo, 1714285
1, 140928, Tempo, 2000000
1, 141024, Tempo, 2090592
1, 141120, Tempo, 1875000
1, 141216, Tempo, 1714285
1, 144288, Tempo, 1666666
1, 144384, Tempo, 1714285
1, 144480, Tempo, 1818181
1, 144576, Tempo, 1714285
1, 144672, Tempo, 1621621
1, 147168, Tempo, 1714285
1, 147264, Tempo, 2000000
1, 147360, Tempo, 1875000
1, 147456, Tempo, 1818181
1, 147744, Tempo, 1666666
1, 147936, Tempo, 1621621
1, 152064, Tempo, 1714285
1, 152352, Tempo, 1818181
1, 152544, Tempo, 1875000
1, 152640, Tempo, 1764705
1, 152736, Tempo, 1714285
1, 152832, Tempo, 1621621
1, 153504, Tempo, 1714285
1, 153600, Tempo, 1875000
1, 153696, Tempo, 2000000
1, 153792, Tempo, 1818181
1, 153888, Tempo, 1714285
1, 153984, Tempo, 1621621
1, 157248, Tempo, 1666666
1, 157440, Tempo, 1714285
1, 157536, Tempo, 1875000
1, 157632, Tempo, 2105263
1, 157728, Tempo, 3000000
1, 158304, Tempo, 2400000
1, 163008, Time_signature, 6, 4, 96, 8
1, 163584, Time_signature, 3, 3, 96, 8
1, 163584, Tempo, 500000
1, 164160, Time_signature, 6, 3, 96, 8
1, 190656, Tempo, 545454
1, 190848, Tempo, 571428
1, 191040, Tempo, 600000
1, 191424, Tempo, 500000
1, 200152, Tempo, 491803
1, 200432, Tempo, 480000
1, 200712, Tempo, 472440
1, 200992, Tempo, 461538
1, 201272, Tempo, 454545
1, 201552, Tempo, 444444
1, 201832, Tempo, 437956
1, 202112, Tempo, 428571
1, 206784, Tempo, 444444
1, 206976, Tempo, 461538
1, 207168, Tempo, 500000
1, 207264, Tempo, 545454
1, 207360, Tempo, 600000
1, 207456, Tempo, 500000
1, 207552, Tempo, 444444
1, 218112, Tempo, 461538
1, 218304, Tempo, 500000
1, 218496, Tempo, 521739
1, 218688, Tempo, 545454
