0, 0, Header, 1, 3, 384
1, 0, Start_track
1, 0, Title_t, "L.v.Beethoven 3mov - Piano Sonata No.10 in G Major Op.14-2\000"
1, 0, Copyright_t, "Copyright(C) 1995-2009, Suzuki Software\000"
1, 0, Sequencer_specific, 9, 67, 123, 0, 88, 70, 48, 50, 0, 1
1, 0, Text_t, "XFhd:2000/05/16:JP:Classical::::L.v.Beethoven:::Kaoru Suzuki\000"
1, 0, Text_t, "XFln:JP:\203s\203A\203m\203\\\203i\203^\221æ10\224Ô\203g\222·\222²\215ì\225i14-2\201`\221æ3\212y\217Í:L.v.\203x\201[\203g\201[\203\224\203F\203\223:::\227é\202¿\202á\202ñ:\227é\202¿\202á\202ñ\000"
1, 0, Time_signature, 1, 3, 96, 8
1, 0, Sequencer_specific, 3, 0, 0, 65
1, 0, Sequencer_specific, 5, 0, 0, 119, 14, 0
1, 0, Tempo, 480000
1, 192, Time_signature, 3, 3, 96, 8
1, 5376, Tempo, 533333
1, 5760, Tempo, 480000
1, 6528, Tempo, 533333
1, 6912, Tempo, 480000
1, 7680, Tempo, 489795
1, 7872, Tempo, 500000
1, 8064, Tempo, 510638
1, 8256, Tempo, 521739
1, 8448, Tempo, 533333
1, 8640, Tempo, 545454
1, 8832, Tempo, 571428
1, 10080, Tempo, 480000
1, 14592, Tempo, 500000
1, 14784, Tempo, 521739
1, 14976, Tempo, 545454
1, 15744, Tempo, 480000
1, 16896, Tempo, 500000
1, 17088, Tempo, 521739
1, 17280, Tempo, 545454
1, 18048, Tempo, 480000
1, 19200, Tempo, 500000
1, 19392, Tempo, 521739
1, 19584, Tempo, 545454
1, 19776, Tempo, 480000
1, 21312, Tempo, 489795
1, 21504, Tempo, 510638
1, 21696, Tempo, 533333
1, 21888, Tempo, 571428
1, 24384, Tempo, 480000
1, 32448, Tempo, 489795
1, 32640, Tempo, 500000
1, 32832, Tempo, 510638
1, 33024, Tempo, 521739
1, 33216, Tempo, 533333
1, 33408, Tempo, 545454
1, 33600, Tempo, 705882
1, 34560, Tempo, 545454
1, 34848, Tempo, 480000
1, 37440, Tempo, 521739
1, 38016, Tempo, 480000
1, 41664, Tempo, 521739
1, 41856, Tempo, 631578
1, 42240, Tempo, 666666
1, 42864, Tempo, 480000
1, 78912, Tempo, 521739
1, 79104, Tempo, 545454
1, 79488, Tempo, 600000
1, 81216, Tempo, 521739
1, 81600, Tempo, 500000
1, 81792, Tempo, 480000
1, 88896, Tempo, 491803
1, 89088, Tempo, 500000
1, 89280, Tempo, 510638
1, 89472, Tempo, 521739
1, 89664, Tempo, 545454
1, 89856, Tempo, 571428
1, 90048, Tempo, 666666
1, 91008, Tempo, 521739
1, 91392, Tempo, 480000
1, 99264, Tempo, 500000
1, 99840, Tempo, 521739
1, 100416, Tempo, 545454
1, 100992, Tempo, 571428
1, 101184, Tempo, 600000
1, 102528, Tempo, 521739
1, 103296, Tempo, 510638
1, 105216, Tempo, 500000
1, 107136, Tempo, 489795
1, 107712, Tempo, 480000
1, 107904, Tempo, 500000
1, 108096, Tempo, 521739
1, 108288, Tempo, 545454
1, 108480, Tempo, 489795
1, 120384, Tempo, 480000
1, 121728, Tempo, 500000
1, 121920, Tempo, 521739
1, 122112, Tempo, 545454
1, 122496, Tempo, 500000
1, 131136, Tempo, 521739
1, 131328, Tempo, 545454
1, 131520, Tempo, 500000
1, 135552, Tempo, 510638
1, 135744, Tempo, 533333
1, 135936, Tempo, 571428
1, 136320, Tempo, 489795
1, 136896, Tempo, 500000
1, 137472, Tempo, 521739
1, 138048, Tempo, 545454
1, 138480, Tempo, 489795
1, 146112, Tempo, 500000
1, 146304, Tempo, 510638
1, 146496, Tempo, 521739
1, 146688, Tempo, 545454
1, 146880, Tempo, 571428
1, 147072, Tempo, 600000
1, 147072, End_track
2, 0, Start_track
2, 0, Title_t, "Right"
2, 0, Control_c, 0, 0, 0
2, 0, Program_c, 0, 0
2, 0, Control_c, 0, 7, 100
2, 0, Control_c, 0, 10, 75
2, 0, Control_c, 0, 91, 127
2, 0, Key_signature, 1, "major"
2, 0, Note_on_c, 0, 59, 80
2, 92, Note_off_c, 0, 59, 100
2, 96, Note_on_c, 0, 60, 80
2, 188, Note_off_c, 0, 60, 100
2, 192, Note_on_c, 0, 62, 80
2, 380, Note_off_c, 0, 62, 100
2, 384, Note_on_c, 0, 64, 80
2, 476, Note_off_c, 0, 64, 100
2, 480, Note_on_c, 0, 66, 80
2, 572, Note_off_c, 0, 66, 100
2, 576, Note_on_c, 0, 67, 80
2, 764, Note_off_c, 0, 67, 100
2, 768, Note_on_c, 0, 69, 80
2, 860, Note_off_c, 0, 69, 100
2, 864, Note_on_c, 0, 71, 80
2, 956, Note_off_c, 0, 71, 100
2, 960, Note_on_c, 0, 72, 80
2, 1148, Note_off_c, 0, 72, 100
2, 1152, Note_on_c, 0, 73, 80
2, 1340, Note_off_c, 0, 73, 100
2, 1344, Note_on_c, 0, 74, 80
2, 1724, Note_off_c, 0, 74, 100
